hotel_name,hotel_url,group_label,group_type
Embassy Suites by Hilton Orlando Lake Buena Vista Resort,https://www.hilton.com/en/hotels/mcowdes-embassy-suites-orlando-lake-buena-vista-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Orlando Sunset Walk,https://www.hilton.com/en/hotels/mcostes-embassy-suites-orlando-sunset-walk/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Panama City Beach Resort,https://www.hilton.com/en/hotels/ecpppes-embassy-suites-panama-city-beach-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Scottsdale Resort,https://www.hilton.com/en/hotels/scteses-embassy-suites-scottsdale-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Virginia Beach Oceanfront Resort,https://www.hilton.com/en/hotels/orfanes-embassy-suites-virginia-beach-oceanfront-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Waikiki Beach Walk,https://www.hilton.com/en/hotels/hnleses-embassy-suites-waikiki-beach-walk/,Embassy Suites by Hilton,Brand
Hampton by Hilton Grand Cayman Seven Mile Beach,https://www.hilton.com/en/hotels/gcmgchx-hampton-grand-cayman-seven-mile-beach/,Hampton by Hilton,Brand
Hampton by Hilton Marjan Island,https://www.hilton.com/en/hotels/rktmahx-hampton-marjan-island/,Hampton by Hilton,Brand
Hilton Club The Beach Resort Sesoko,https://www.hilton.com/en/hotels/okasogv-hilton-club-the-beach-resort-sesoko/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Anderson Ocean Myrtle Beach,https://www.hilton.com/en/hotels/myraogv-hilton-grand-vacations-club-anderson-ocean-myrtle-beach/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Elara Center Strip Las Vegas,https://www.hilton.com/en/hotels/lascsgv-hilton-grand-vacations-club-elara-center-strip-las-vegas/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Flamingo Las Vegas,https://www.hilton.com/en/hotels/lasflgv-hilton-grand-vacations-club-flamingo-las-vegas/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Grand Waikikian Honolulu,https://www.hilton.com/en/hotels/hnlgwgv-hilton-grand-vacations-club-grand-waikikian-honolulu/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Hokulani Waikiki Honolulu,https://www.hilton.com/en/hotels/hnlwbgv-hilton-grand-vacations-club-hokulani-waikiki-honolulu/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Kings' Land Waikoloa,https://www.hilton.com/en/hotels/koaklgv-hilton-grand-vacations-club-kings-land-waikoloa/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Kohala Suites Waikoloa,https://www.hilton.com/en/hotels/koawbgv-hilton-grand-vacations-club-kohala-suites-waikoloa/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club La Pacifica Los Cabos,https://www.hilton.com/en/hotels/sjdgvgv-hilton-grand-vacations-club-la-pacifica-los-cabos/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Las Palmeras Orlando,https://www.hilton.com/en/hotels/mcoubgv-hilton-grand-vacations-club-las-palmeras-orlando/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club MarBrisa Carlsbad,https://www.hilton.com/en/hotels/sanmbgv-hilton-grand-vacations-club-marbrisa-carlsbad/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Maui Bay Villas,https://www.hilton.com/en/hotels/oggmbgv-hilton-grand-vacations-club-maui-bay-villas,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Ocean 22 Myrtle Beach,https://www.hilton.com/en/hotels/myrttgv-hilton-grand-vacations-club-ocean-22-myrtle-beach/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Ocean Enclave Myrtle Beach,https://www.hilton.com/en/hotels/myroegv-hilton-grand-vacations-club-ocean-enclave-myrtle-beach/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Ocean Oak Resort Hilton Head,https://www.hilton.com/en/hotels/hhhgvgv-hilton-grand-vacations-club-ocean-oak-resort-hilton-head/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Ocean Tower Waikoloa Village,https://www.hilton.com/en/hotels/koaotgv-hilton-grand-vacations-club-ocean-tower-waikoloa-village/,Hilton Grand Vacation Club,Brand
Hilton Grand Vacations Club Paradise Las Vegas,https://www.hilton.com/en/hotels/laslvgv-hilton-grand-vacations-club-paradise-las-vegas/,Hilton Grand Vacation Club,Brand
